nose_x,nose_y,shoulder_r_x,shoulder_r_y,shoulder_l_x,shoulder_l_y,elbow_r_x,elbow_r_y,elbow_l_x,elbow_l_y,wrist_r_x,wrist_r_y,wrist_l_x,wrist_l_y,torso_up_x,torso_up_y,torso_low_x,torso_low_y,hip_r_x,hip_r_y,hip_l_x,hip_l_y
717.960610421236,385.626873221251,651.685448392202,475.237974110349,809.618939801347,470.834730301594,646.36191014984,597.534186657533,828.641879090008,598.832864582434,663.956009131503,696.88248034813,809.099097404626,696.481455356601,731.170802375126,463.41653554724,731.788078081329,536.201379222096,673.590002792889,658.233228313589,801.306921270189,653.924895233135
718.056775071764,385.090142192335,651.811895631315,475.152346008517,809.694366055134,470.59692153994,645.71579757107,596.794237076432,828.695253667326,599.29339187976,663.700664763243,697.389319688812,809.096373717408,696.422385799855,730.956335307154,463.572481946643,732.050391410355,534.607927469865,673.400592506356,658.47525089201,801.295727987532,653.613003852354
718.259729997051,385.144404475097,651.772070635777,475.229673024776,810.019011022197,470.631414647054,645.469910431757,596.862862336134,828.523052031509,599.80613243072,663.502954430151,697.524945287186,809.194840644112,696.387679649401,730.896598906856,463.549054398788,731.967583817104,534.142530637424,673.313166265795,658.77046909151,801.496925309306,653.629673198635
718.546414194438,385.449134569615,651.76684192687,475.235689074388,810.311923608412,470.623441637114,645.18853740713,596.766620421901,828.44954108496,600.189016181352,663.302019459513,697.605314527314,809.30634175403,696.403763041762,730.861738528884,463.573398200861,731.94965278148,533.474514074492,673.229845035953,659.074486322542,801.59184828917,653.637165888455
718.821784598829,386.170027659168,651.705434298429,475.271413493585,810.596365954117,470.680420384468,645.008647688167,596.805702379226,828.348139619092,600.433094002147,663.040777919218,697.471596022911,809.334550922492,696.410052079352,730.890387352458,463.517060334954,731.856810878253,533.080214863065,673.209443261406,659.412927583315,801.691279917347,653.62992520278
719.102651740218,387.179899650198,651.734311848316,475.212977275347,810.913826981271,470.718845752319,644.80685695724,596.867001168259,828.331137614935,600.602001546624,662.798782664073,697.228348659146,809.239142304831,696.433529814315,731.034327510678,463.397318810485,731.753375077661,532.950535785275,673.165789917314,659.687963645738,801.711011528967,653.626364070701
719.324606572705,388.412199401806,651.811935708341,475.122343964671,811.163047821786,470.75041878024,644.477545227208,596.802954127378,828.441632660299,600.704734741049,662.584891974765,696.965680545251,809.024092818299,696.457560238445,731.202639918533,463.241277366242,731.714683859498,532.920916682368,673.10914695941,659.792947466481,801.569987179192,653.568848422403
719.326925745049,389.647485341893,651.854060960634,475.089384576103,811.277455298253,470.84705359835,644.102831783852,596.779904655499,828.516280400127,600.803009610472,662.362219524364,696.783077032558,808.711655203511,696.437420181602,731.336374160374,463.0997090709,731.727725124355,532.899532896926,673.028667023662,659.724501038875,801.275371993486,653.359271351907
719.127892218076,390.653965093845,651.88861144637,475.109049554661,811.323211248843,471.054742171039,643.752567185915,596.902552251492,828.449296671613,601.037800306719,662.160989450491,696.730155291629,808.330500487794,696.428826632976,731.487610891651,463.02980247996,731.772467681595,533.083060623113,672.853545820699,659.50022270319,800.911978555232,653.12366114293
718.824166494633,391.402429415913,651.889170781873,475.231002539881,811.342853023388,471.400427296054,643.477973618603,596.94836238642,828.370111252055,601.361265130684,661.983389583848,696.698504930669,807.875192655866,696.625576890536,731.596710214146,463.066445731926,731.811908186991,533.4434894299,672.556968773964,659.167151890577,800.585142560534,653.136195817487
718.387976391053,391.874031973518,651.766380875554,475.475767657846,811.308659089532,471.866526252074,643.449416931715,596.829678249026,828.284394814988,601.614430478144,661.766235444808,696.633015600823,807.393295585142,697.145994267654,731.570371964058,463.227530917051,731.793885097337,533.659526838147,672.14465295288,658.852715703363,800.317693397348,653.350825276718
