nose_x,nose_y,shoulder_r_x,shoulder_r_y,shoulder_l_x,shoulder_l_y,elbow_r_x,elbow_r_y,elbow_l_x,elbow_l_y,wrist_r_x,wrist_r_y,wrist_l_x,wrist_l_y,torso_up_x,torso_up_y,torso_low_x,torso_low_y,hip_r_x,hip_r_y,hip_l_x,hip_l_y
652.01634296719,407.438231045775,574.050984417963,485.426655610411,735.005087347373,489.277529637767,559.981487337207,619.752625022999,746.948093362756,614.270576511437,565.571898806355,731.107249124572,728.85071006769,734.650496820131,655.965203367124,489.136933765598,656.05362505086,556.251822036933,585.59866029503,653.194848146243,711.130155272065,654.336928740851
651.995877822121,407.329811087208,573.899385117369,485.395616921629,735.012972942766,489.62993293028,560.079242414299,620.01059073887,746.716572595136,614.300644781862,564.976368387867,731.013358930507,728.563255633773,736.116677219345,655.779960640491,489.298918578982,655.721129915293,556.442161012345,585.922533427238,653.081761589237,711.116053097863,654.550381130701
651.981907101185,407.329987609222,573.867022906178,485.365894998011,735.056453144018,489.769135412138,560.113642060544,620.022385863633,746.787304247765,614.355653301202,564.852708332151,731.007944480735,728.552136686292,736.11751584324,655.772648211087,489.287249790852,655.742279691649,556.422051851767,585.910187133086,653.244357852831,711.084060095656,654.591306763798
651.972512131238,407.318931049235,573.820878233145,485.338376576375,735.09159377688,489.928598191588,560.140790815544,620.091302305081,746.783729645436,614.349640462472,564.67893803906,730.952342720202,728.472887608313,736.338290024011,655.717266860856,489.293491256473,655.664299384096,556.415411326595,585.983484240927,653.246870113192,711.043796428613,654.60411116484
651.989454016611,407.341575363099,573.80877037293,485.316623182357,735.124485073315,490.013797137339,560.130250321622,620.05745865779,746.826040880242,614.35689341371,564.664872030763,730.959243023815,728.507439874403,736.128972886659,655.701204851972,489.274420655466,655.676818361684,556.360879583209,585.961464339153,653.253548614626,711.046739362191,654.533585152263
651.988399374071,407.372321572165,573.814876955981,485.289285978464,735.137980775722,490.083826539201,560.128535119296,620.020129373761,746.88431894084,614.355837123564,564.677292311924,730.99083358244,728.567212558514,735.81810643908,655.70270103212,489.256568297474,655.682633644248,556.271535811278,585.938288980731,653.210840835495,711.04934798277,654.464397168953
651.976145679079,407.399222305691,573.801547908289,485.265374182056,735.154657115433,490.154513998233,560.122162820248,620.049019864027,746.906770644412,614.31763319907,564.671613369178,731.017959151186,728.56038986055,735.657943542012,655.685099642535,489.250518286273,655.64388626862,556.214366959917,585.937627399829,653.095616577165,711.05839879262,654.372531798214
651.979413834724,407.420163110013,573.752718885764,485.261139193111,735.171103500983,490.215836542509,560.097595389061,620.084578290612,746.893123641343,614.305383595081,564.679207937749,731.117587382002,728.55613817628,735.608691587221,655.660322271243,489.269914973813,655.609636841757,556.203560656662,585.916164439218,653.013925518486,711.114574859122,654.280209311585
651.979599553928,407.432813876123,573.698655711404,485.259180937308,735.176051508396,490.277809189835,560.077930986434,620.104912675249,746.876583558279,614.358455233005,564.690984619597,731.281255659541,728.633587987688,735.588948552641,655.672287979623,489.308689366121,655.596137341024,556.198040234118,585.88345406534,653.008425395047,711.170411523307,654.249787338987
651.942768813682,407.438331148325,573.630003226118,485.27088567602,735.17717567009,490.301908817712,560.080409539461,620.112069884032,746.886586503171,614.370506913417,564.707484308978,731.378534533,728.680115649947,735.653909568044,655.692537009665,489.312887911386,655.581535253181,556.191143043696,585.828493132472,653.000456116258,711.197697865552,654.25978739096
651.873360593764,407.438430235728,573.514143148707,485.330669760819,735.15531674828,490.243709661282,560.092115116512,620.05922547794,746.939802038845,614.285986136069,564.749344962655,731.374415206266,728.622527518323,735.835994776551,655.670725931868,489.260478498843,655.559896330046,556.17884007782,585.728627666043,652.943856412909,711.247571264984,654.260671290086
651.803689763492,407.432825404637,573.394215961465,485.404439607217,735.104128488235,490.157438100948,560.094469777343,619.975166611454,747.006013623066,614.197824281522,564.790651473509,731.317920686517,728.578556626279,736.042017801738,655.641254170917,489.200089632274,655.533717197658,556.148700920869,585.648935852099,652.842053146795,711.307657061527,654.231211924966
651.733732483168,407.421717406345,573.308676010067,485.457956401665,735.051136893292,490.084072877359,560.104730201545,619.93015063444,747.058658636817,614.127616030526,564.804343818092,731.210976823289,728.55165761315,736.222998155453,655.631756595705,489.151449445787,655.501462774669,556.112710036098,585.615214662011,652.699703345528,711.324710070548,654.170646527915
651.649722629589,407.409718164321,573.233973096807,485.510098470061,734.997793831434,489.988143911773,560.122536226697,619.906782466621,747.120503053516,614.046705310188,564.798152779224,731.065048554226,728.439406293205,736.40331768456,655.60908425557,489.097884199755,655.469301771079,556.082492137835,585.582630666801,652.525352042721,711.314028829106,654.085366470181
651.585031994691,407.401996098862,573.184573330961,485.545941988233,734.947654738672,489.898457180804,560.116613921064,619.891126856763,747.177039561484,614.041087641896,564.773649563644,730.946653461501,728.32392413284,736.539103701966,655.583381304385,489.063374025081,655.448716199318,556.069402501515,585.583589895163,652.367756402075,711.300392779003,653.993261823817
651.565987487921,407.397020324585,573.191718830879,485.541630318011,734.928351635503,489.875902853307,560.115351208747,619.924942248743,747.178575931323,614.141185339393,564.743970496238,730.896690617859,728.28331363706,736.605383418475,655.590827349203,489.068813621177,655.434478981606,556.08424164935,585.640093490094,652.300492323785,711.275991923616,653.932427272327
651.562484658469,407.394167746286,573.224770569658,485.524113365771,734.932992991589,489.881106629,560.143833688289,619.987024841938,747.145354165994,614.244820850183,564.727547470962,730.893559257235,728.222622121227,736.666293852934,655.611188117,489.090718256674,655.414974265262,556.122238618794,585.687330179518,652.295724131875,711.254495743311,653.920623166154
651.557606740619,407.396848275572,573.25275092368,485.514242924794,734.936734290607,489.869205849975,560.169985461941,620.018815843385,747.124646025532,614.316965244935,564.709889699762,730.898355315137,728.122629714967,736.75784859135,655.613966645471,489.108119853544,655.398914710294,556.185467490428,585.710221188231,652.266607565103,711.265015806252,653.937705132285
651.567337908399,407.401302109281,573.280654266275,485.509535538896,734.943225099231,489.875484824463,560.212800201311,620.050623329675,747.111201172746,614.362236758045,564.69155826845,730.900925456087,728.05232140511,736.882330521955,655.601296406885,489.115715626463,655.386532309837,556.267271466327,585.7322273148,652.244061229933,711.304763499927,653.960927576142
651.583045537082,407.404619174836,573.300044682152,485.50750273896,734.963528872804,489.909072861574,560.275693253533,620.115371413094,747.092867171526,614.336869139296,564.687545711088,730.926497677724,728.004856359039,737.007800859617,655.583499238616,489.12453192833,655.361490690781,556.342613437629,585.747587206429,652.272879114185,711.348441835658,653.972215078074
651.58491057583,407.405734218606,573.294372814358,485.504319386156,734.99469874087,489.930430940929,560.284382947155,620.169743657844,747.084692547518,614.263144646432,564.682766125138,730.988934602276,727.963049886938,737.096169198115,655.563568658297,489.154512573165,655.338425215123,556.406984043401,585.761883936942,652.30096319523,711.373759816699,653.971242258013
651.585676771312,407.380937256343,573.277598881079,485.510597901617,735.019154394349,489.949112491328,560.262256833634,620.220708725166,747.105616260097,614.220220571298,564.679579300893,731.055227072692,727.941875497946,737.188848840151,655.533303337348,489.196294568176,655.33642807086,556.460456006818,585.767468023095,652.347257875662,711.365632709391,654.01656847879
